caseStartTimestamp,caseJurisdictionId,caseEndTimestamp,userID
2022-03-01T12:25:00,Probate,2022-04-27T12:31:00,5927
2022-03-02T11:13:00,Divorce,2022-04-27T11:13:00,4c152236-a40a-423a-b97e-b9535dda633c
2022-03-03T10:52:00,Divorce,2022-04-27T10:32:00,f731eda0-9e75-44e1-916a-1edcf38c3a7c
2022-03-04T09:41:00,Probate,2022-04-27T09:24:00,af23201f-eaf8-4e86-81bc-fb244eb9d314
2022-03-05T12:15:00,Probate,2022-04-27T12:12:00,5927
2022-03-06T11:14:00,Divorce,2022-04-27T11:54:00,4c152236-a40a-423a-b97e-b9535dda633c
2022-03-07T10:42:00,Divorce,2022-04-27T10:42:00,f731eda0-9e75-44e1-916a-1edcf38c3a7c
2022-03-08T11:23:00,Probate,2022-04-27T09:13:00,af23201f-eaf8-4e86-81bc-fb244eb9d314
2022-03-09T09:43:00,Probate,2022-04-27T11:32:00,5927
2022-03-10T12:26:00,Divorce,2022-04-27T12:35:00,4c152236-a40a-423a-b97e-b9535dda633c
2022-03-12T10:25:00,Divorce,2022-04-27T10:21:00,f731eda0-9e75-44e1-916a-1edcf38c3a7c
2022-03-11T12:23:00,Probate,2022-04-27T09:42:00,af23201f-eaf8-4e86-81bc-fb244eb9d314
2022-03-13T11:53:00,Probate,2022-04-27T12:35:00,5927
2022-03-14T09:43:00,Divorce,2022-04-27T11:12:00,4c152236-a40a-423a-b97e-b9535dda633c
2022-03-15T12:56:00,Divorce,2022-04-27T10:32:00,f731eda0-9e75-44e1-916a-1edcf38c3a7c
2022-03-16T11:35:00,Probate,2022-04-27T12:54:00,af23201f-eaf8-4e86-81bc-fb244eb9d314
2022-03-17T10:12:00,Probate,2022-04-27T11:14:00,5927
2022-03-18T11:23:00,Divorce,2022-04-27T12:21:00,4c152236-a40a-423a-b97e-b9535dda633c
2022-03-19T12:34:00,Divorce,2022-04-27T09:24:00,f731eda0-9e75-44e1-916a-1edcf38c3a7c
2022-03-20T12:10:00,Probate,2022-04-27T12:34:00,af23201f-eaf8-4e86-81bc-fb244eb9d314

